city,country,latitude,longitude
Pucara,Peru,-15.0418557,-70.3673152
Nangalimang,Indonesia,-8.6436471,122.2001457
Laguna de Perlas,Nicaragua,12.3390296,-83.6747342
Strasbourg,France,48.5851876,7.7342943
Port-Cartier,Canada,50.0234664,-66.8869412
Escuintla,Guatemala,14.2724013,-90.7746443
Pāshmūl,Afghanistan,31.5572,65.4343
Macia,Mozambique,-25.0263578,33.1070309
Camilo Aldao,Argentina,-32.9817511,-60.6944851
Kunvald,Czech Republic,50.1206081,16.4894818
Vrbas,Serbia,45.5701534,19.6449683
Badajoz,Spain,38.8794495,-6.9706535
Jāmpur,Pakistan,29.5945152,70.6008375
Lens,France,46.280212,-0.4601725
Třinec,Czech Republic,49.6579309,18.7059561
Tuguan,China,23.146358,113.265008
Mekarsari,Indonesia,-8.3765619,115.1918802
Usab,Philippines,14.739952,121.0267879
Quchomo,China,28.249827,91.767413
Xiangcheng,China,33.465838,114.875333
Laweueng,Indonesia,5.5080084,95.8630825
Jabon,Indonesia,-7.5590563,112.7509656
Kiuruvesi,Finland,63.6106858,26.9828477
Kuala Lumpur,Malaysia,3.1523104,101.7178316
Kasina Wielka,Poland,49.7287057,20.1353402
Gazimurskiy Zavod,Russia,51.55352,118.3446
Puwa,China,30.849368,85.240127
Cibebek,Indonesia,-6.148922,106.191761
Ferreira do Zêzere,Portugal,39.6932144,-8.2905257
Trnovlje pri Celju,Slovenia,46.2394709,15.2867417
Aranos,Namibia,-24.1377718,19.1107114
Monte,Portugal,41.1256135,-7.925857
Dongbatu,China,31.232225,121.289253
Thị Trấn Ngọc Lặc,Vietnam,20.0844095,105.3760604
Davila,Philippines,14.5675752,121.0144105
Vitoria-Gasteiz,Spain,42.8436672,-2.6722992
Omaha,United States,41.2101217,-95.9991228
Zheleznogorsk,Russia,56.1721987,93.6466243
Lipovljani,Croatia,45.3982443,16.8946158
La Caya,Dominican Republic,18.4849486,-69.8627901
Shigu,China,27.522725,112.507849
Magdalena,Peru,-12.0904353,-77.069999
Saraktash,Russia,51.7920503,56.3442985
Pokhvistnevo,Russia,53.6482058,52.1229541
Dali,China,25.606486,100.267638
Sidareja,Indonesia,-7.4846821,108.7833982
El Parco District,Peru,-5.6202503,-78.4695111
Oslo,Norway,59.9684367,10.6587684
Limoges,France,45.521519,3.5276642
Hînceşti,Moldova,46.8282022,28.589271
Yuci,China,37.697794,112.708224
Al Jafr,Saudi Arabia,25.377098,49.72433
Tieremu,China,39.119934,77.002783
Sapadun,Philippines,7.48333,124.25
Fenghuangdong,China,28.338821,113.676055
Hetian,China,37.114157,79.922211
Caibarién,Cuba,22.5064672,-79.4760133
Sedlice,Czech Republic,50.153206,15.7292147
Prakhon Chai,Thailand,14.6014909,103.0933171
Krajan,Indonesia,-7.5450262,111.6556388
Peabiru,Brazil,-23.9145273,-52.3400517
Liangshan,China,27.88157,102.267712
Dordrecht,Netherlands,51.7783026,4.693265
Shīeli,Kazakhstan,44.1689119,66.7337284
Borūjen,Iran,31.9797908,51.2946066
Xishaping,China,29.648686,109.864472
København,Denmark,55.6658602,12.5482906
Dongfanghong,China,41.1846097,80.3038321
Wŏnsan,North Korea,39.1538529,127.4460001
Thị Trấn Mộc Châu,Vietnam,20.8444995,104.6412925
Woodford Hill,Dominica,15.5805384,-61.3297698
Kvasy,Ukraine,48.1495982,24.2824443
Campo,Portugal,41.5706511,-8.3577961
Anopog,Philippines,10.3291793,123.8864493
Colombo,Sri Lanka,6.9333793,79.8441645
Tres Arroyos,Argentina,-34.6250746,-58.4879365
Buenos Aires,Mexico,19.4052965,-99.1504583
Siborong-borong,Indonesia,2.2155425,99.0349977
Vera,Argentina,-31.6577222,-60.7829517
Jesús Menéndez,Cuba,21.1596123,-76.4736602
Tilburg,Netherlands,51.5742615,5.0840393
Greenhills,Ireland,53.3122864,-6.336393
Nancy,France,48.689836,6.17445
Dobroměřice,Czech Republic,50.3700968,13.794744
Vakhtan,Russia,57.9609962,46.6878846
Coyaima,Colombia,3.799339,-75.194595
Mungui,Peru,-15.1838408,-72.9061903
Lenningen,Luxembourg,49.6005751,6.3670151
Jarry,Guadeloupe,16.2359,-61558
Shamkhor,Azerbaijan,40.8288144,46.0166879
Mahaddayweyne,Somalia,2.9716241,45.5334515
Ivouani,Comoros,-11.388934,43.390991
Tiarei,French Polynesia,-17.53333,-149.33333
Weishan,China,25.227212,100.307174
Midoun,Tunisia,33.7754716,10.9580947
Lümeng,China,34.994502,118.3126338
Izmaylovo,Russia,55.8056555,37.8046391
Estrada,Portugal,41.0832289,-7.8225565
Listvyanka,Russia,51.8761178,104.8423232
Xindong,China,21.918725,111.053561
Orikhiv,Ukraine,47.5658802,35.7876745
Fengcun,China,23.0886013,113.2446381
Chengnan,China,29.270311,88.880492
Gävle,Sweden,60.6815788,17.1350993
Yinhedahan’er,China,48.0288905,123.0199373
Tibigan,Philippines,9.9518,123.9622
Roches Noire,Mauritius,-20.1100712,57.7261042
Vesëlyy,Russia,47.0914911,40.7454595
Fyllingsdalen,Norway,60.3573369,5.2731644
Shashi,China,30.311056,112.255583
Cerquilho,Brazil,-23.1744477,-47.7440315
Budapest,Hungary,47.517115,19.053701
Babice,Poland,49.8180882,22.4761571
Stroitel’,Russia,52.6523079,41.4346698
Woto,Indonesia,-7.524303,109.204103
Caotang,China,23.2997268,113.323144
Bungo-Takada-shi,Japan,33.5617615,131.428737
Oke Mesi,Nigeria,7.8353579,4.9221114
Kopang Satu,Indonesia,-8.5803424,116.3654707
Pivijay,Colombia,10.4471471,-74.4086073
Santos Evos,Portugal,40.6588133,-7.8303977
Huaiyuan Chengguanzhen,China,32.968455,117.167673
Épernay,France,49.0371335,3.979371
Nagoselo do Douro,Portugal,41.1814553,-7.4179536
Czyżowice,Poland,49.9846987,18.4044199
Trzciana,Poland,50.05998,21.8324138
Tshela,Democratic Republic of the Congo,-5.0077715,12.9608246
Hwawŏn,South Korea,35.8037979,128.5005419
Huntsville,United States,34.6540922,-86.566246
Szeged,Hungary,46.2646441,20.1120379
Zhouxi,China,22.993423,113.718807
Tintafor,Sierra Leone,8.6286447,-13.2158557
Pilcaniyeu,Argentina,-38.7418721,-62.2206382
Neyrīz,Iran,29.1893104,54.3139277
Versailles,France,48.8048649,2.1203554
Laholm,Sweden,56.504578,13.0422348
Lexington,United States,32.7925057,-116.93933
Sidu,China,30.619516,110.400306
Hudiksvall,Sweden,61.8245883,16.1406946
Okhtyrka,Ukraine,50.3150962,34.9005644
Shuiquan,China,35.640089,103.766427
Miandrivazo,Madagascar,-19.5354306,45.4615785
Jiabeiyan,China,40.338328,119.73214
Los Angeles,United States,34.0599302,-118.249786
Bassa,Nigeria,7.7701761,7.0498442
Fazhan,China,23.021478,113.121435
Capalonga,Philippines,14.273035,122.564262
Mangga Dua,Indonesia,-6.1418556,106.8281623
Rust’avi,Georgia,41.5225612,45.0430369
Leiria,Portugal,39.7191273,-8.852352
Kedungsinggil,Indonesia,-8.0993,111.9161
Kiaranonggeng,Indonesia,-7.42566,108.14323
Chenghe,China,30.572815,104.066801
Old Harbour Bay,Jamaica,17.9073835,-77.0965442
Siilinjärvi,Finland,63.071925,27.6617536
Göteborg,Sweden,57.6983773,11.982711
Puqi,China,29.724692,113.900628
Créteil,France,48.7997482,2.4699259
Kup,Poland,50.8062039,17.8834957
Bomomani,Indonesia,-3.9020493,135.7900209
Şūrān,Syria,35.2866986,36.7415432
Skore,Albania,40.1072856,20.3651385
Shajing,China,22.720595,113.829667
Lewolere,Indonesia,-8.339355,122.9634852
Wróblew,Poland,51.612047,18.615044
Orahovac,Kosovo,42.3998287,20.6527992
Kasiyan,Indonesia,-8.3162866,113.4686802
Daijiaba,China,33.010035,106.179842
Ōarai,Japan,37.6710023,139.8647618
Kristiansand S,Norway,58.1348867,8.006095
Yangsan,South Korea,35.3350072,129.0371689
Uherce Mineralne,Poland,49.4702817,22.4000005
Konduga,Nigeria,11.6485321,13.4193903
Sukamahi Satu,Indonesia,-6.3811392,107.1854181
Xicheng,China,39.912288,116.365867
Cinyumput,Indonesia,-7.311248,106.4786051
Tobilolong,Indonesia,-8521,123.5353
Narsaq,Greenland,60.910493,-46.04349
Povorino,Russia,51.1907529,42.2463427
Pluak Daeng,Thailand,12.9707642,101.2163774
Fengyang Fuchengzhen,China,32.871671,117.56024
Werang,Indonesia,-8.5639937,122.6164409
Primero de Mayo,Mexico,19.1753648,-96.1427574
Hajeom,South Korea,37.7745941,126.4111806
Oslo,Norway,59.8879013,10.802721
Mae Ramat,Thailand,17.0597577,98.6160674
Papelón,Venezuela,8.9420217,-69.4620671
Jiekou,China,23.544678,113.591349
Mananara,Madagascar,-16.1705547,49.765208
Bagong Barrio,Philippines,14.6587588,120.944359
Balabagan,Philippines,7.5421232,124.1539783
Cibebek,Indonesia,-6.148922,106.191761
Jiajiaying,China,22.7843398,114.0486176
Nara-shi,Japan,34.6518908,135.7845381
Azueira,Portugal,39.0107208,-9.285291
Banjar Cemenggon,Indonesia,-8.5403989,115.2027279
Jeponkrajan,Indonesia,-7.459928,110.2727569
Kujama,Nigeria,10.4801506,7.6358249
Pyhäsalmi,Finland,63.4416393,25.6450741
Ampera,Indonesia,-8.2600716,124.423984
Alto Barinas,Venezuela,8.59207,-70.225082
Chyňava,Czech Republic,50.0385516,14.0470364
Simabur,Indonesia,-0.4589199,100.5099262
Bugis,Indonesia,-0.4978509,117.1448579
Drummondville,Canada,45.9067495,-72.5406445
Az̧ Z̧a‘āyin,Qatar,25.5784559,51.4821387
Firenze,Italy,43.7549435,11.2216134
Ust’-Kachka,Russia,58.00284,55.6720592
Bourg-en-Bresse,France,46.2501181,5.1140864
Mari,Indonesia,-7.7469239,110.3729973
Biscucuy,Venezuela,9.3595215,-69.9877879
Huancheng,China,30.940195,118.75868
Rodotópi,Greece,39.7083252,20.7237136
Mobara,Japan,37.5330237,140.628425
La Tigra,Argentina,-37.7912944,-58.8489331
Orvalho,Portugal,40.0233496,-7.7912472
Sremčica,Serbia,44.6757957,20.4004819
Capalonga,Philippines,14.273035,122.564262
Longbo,China,24.9848125,118.8310811
Huaping,China,26.629211,101.266195
Dongpu,China,23.113478,113.417068
Florida,Uruguay,-34.0948167,-56.2202946
Narew,Poland,52.9152117,23.4961724
Saint-Tite,Canada,46.73336,-72.56581
Tiantang,China,25.556716,110.016031
Al Farwānīyah,Kuwait,29.273357,47.9400154
Sekondi-Takoradi,Ghana,4.9536104,-1.7344155
Tiguion,Philippines,13.3475852,121.8847222
La Falda,Argentina,-38.6816248,-62.2841378
Sovetsk,Russia,57.5780197,48.9602971
Xinmatou,China,39.437477,115.496651
Krasnaye,Belarus,52.8874021,30.0360311
Poctol,Philippines,13.8151887,121.436308
Mariatana,Peru,-12.2376497,-76.3259182
Borok,Russia,58.1494235,38.2144331
Martin,Croatia,45.4942402,18.0674023
Alepoú,Greece,39.6185297,19.8966576
Katy,United States,29.7857853,-95.8243956
Bolembre,Portugal,38.8678657,-9.4272778
Rosario de Lerma,Argentina,-24.9843096,-65.5805252
Vanino,Russia,49.0844448,140.2534384
Satsumasendai,Japan,31.8484611,130.260344
Hobo,Philippines,13.5085076,123.1804731
Nagareyama,Japan,35.8496818,139.8969749
Cedry Wielkie,Poland,54.2490828,18.8664712
Vilufushi,Maldives,2.5045603,73.3082308
Herval,Brazil,-32.0288506,-53.3936083
Nuoxizhi,China,30.2785,109.62866
Urho,China,46.089148,85.693742
Manado,Indonesia,1.4748305,124.8420794
Lanchkhuti,Georgia,42.0902225,42.0359711
Kazanlŭk,Bulgaria,42.61667,25.4
Jucás,Brazil,-6.4534018,-39.6105142
San Fernando de Monte Cristi,Dominican Republic,19.8488549,-71.6514216
Marcala,Honduras,14.1560521,-88.0363086
Ramon’,Russia,51.9347573,39.3221711
Zinder,Niger,13.8018124,8.98527
Xiongjia,China,25.648962,111.675265
Yao’an,China,25.504173,101.241728
Lawesigalagala Timur,Indonesia,3.352913,97.913223
Załuski,Poland,52.4977237,20.5022109
Buliu,China,37.339426,122.435887
Sukonolo Krajan,Indonesia,-8.1031,112.6167
Bīleh Savār,Iran,39.3822864,48.3501725
Jiaodai,China,34.0600347,109.2478812
Wiang Nuea,Thailand,19.9252706,99.8625116
Weifang,China,36.706962,119.161748
Krasne,Poland,50.0384685,22.0969371
Millau,France,44.1012172,3.0792713
Chiquinquirá,Colombia,5.614775,-73.819571
Bull Savanna,Jamaica,17.8846183,-77.5950623
Cai Doi Vam,Vietnam,8.8732234,104.8162784
Dniprodzerzhyns’k,Ukraine,48.523117,34.613683
Huskvarna,Sweden,57.7911244,14.2483538
Morada Nova,Brazil,-5.0662102,-38.3587174
Nový Knín,Czech Republic,49.7880079,14.293561
Baharly,Turkmenistan,38.4361809,57.4287899
Butuan,Philippines,14.3213796,121.0737995
Malonty,Czech Republic,48.6768262,14.5775257
Palaió Fáliro,Greece,37.9253691,23.7006539
Zhangjiafan,China,31.046822,115.318821
Kambar,Pakistan,27.8084474,67.9277909
Lianxia,China,23.493474,116.77979
Changxing,China,31.026665,119.910952
Velký Týnec,Czech Republic,49.5519718,17.3375604
Rodez,France,44.5453926,2.14552
Kamphaeng Phet,Thailand,16.4739491,99.5096031
Chenfangji,China,28.053959,116.55989
Şafwá,Saudi Arabia,26.6274775,49.9161886
Haveluloto,Tonga,-21.15216,-175.21333
Ayagoz,Kazakhstan,47.9755808,80.432736
Chitré,Panama,7.9523119,-80.4382153
Novosmolinskiy,Russia,56.2862076,43.0264348
Krapyak Kidul,Indonesia,-6.8762522,109.6795545
Quinua,Peru,-13.05526,-74.139107
Vichy,France,46.1167,3.4167
Longzhong,China,31.991961,112.03379
Saint-Denis,France,48.922709,2.3425328
Baghlān,Afghanistan,35.8042947,69.2877535
Metsovo,Greece,39.7702467,21.1828612
Norrköping,Sweden,58.5812006,16.1481061
Pulau Pinang,Malaysia,5.414515,100.329744
Srebrenica,Bosnia and Herzegovina,44.1039762,19.2997218
Lishan,China,27.622444,112.410417
Albuquerque,United States,35.1332903,-106.6167113
Santa Cruz do Rio Pardo,Brazil,-22.8997858,-49.6258261
Požarevac,Serbia,44.6208353,21.1842054
Horta,Portugal,40.6205598,-8.5468762
Zhiryatino,Russia,53.2252531,33.7298819
Guanzhuang,China,27.868393,113.433712
Nunbaundelha,Indonesia,-10.1748845,123.5714032
Kosmonosy,Czech Republic,50.4427733,14.9233449
Kotes,Indonesia,-8.0600591,112.2890705
Hehu,China,31.199997,121.461114
Ormož,Slovenia,46.4086282,16.1508154
Harrison,Philippines,29.8867778,-95.549054
Atescatempa,Guatemala,14.1752039,-89.7445776
Tcholliré,Cameroon,8.3976116,14.1727518
Sexmoan,Philippines,14.9333333,120.6166667
Tulsa,United States,36.1592882,-95.9964783
Daying,China,30.594336,105.236903
Barranquilla,Colombia,10.9961711,-74.8331674
Johanneshov,Sweden,59.294651,18.0695647
Treinta y Tres,Uruguay,-33.229046,-54.3576473
Valbo,Sweden,60.6466216,17.0064517
Beoga,Indonesia,-3.8171911,137.3315076
Bagalangit,Philippines,8.2101114,124.8662656
Orsay,France,48.3606958,-0.2717072
Douba,China,35.0633042,116.3184614
Tucheng,China,24.1477358,120.6736482
Vancouver,United States,45.616422,-122.5804528
Phan Thong,Thailand,13.4712468,101.0978724
Selaawi,Indonesia,-7.011204,108.0257828
Glan,Philippines,5.8228231,125.2060456
Skillingaryd,Sweden,57.4357357,13.9788932
Dijon,France,45.2977605,2.5135985
Tuba,China,36.1228302,-111.2236913
Cinyawang,Indonesia,-7.5746526,108.7690065
Fuji,Japan,37.5568153,139.747389
Kassiri,Sierra Leone,8.9392884,-13.1149327
Horad Smalyavichy,Belarus,54.0297214,28.0892299
Aasiaat,Greenland,68.708827,-52.870974
Hantara,Indonesia,-7.0695176,108.463214
Tam Kỳ,Vietnam,15.5638825,108.4786313
Podporozh’ye,Russia,60.9116468,34.1661641
Sandaogou,China,41.468342,115.437602
Bethlehem,United States,40.6238902,-75.3936808
Hanggan,Philippines,14.5165603,121.2786716
Villa del Rosario,Colombia,7.6834821,-72.4909026
Cishan,China,36.57863,114.114634
Gjøvik,Norway,60.79832,10.705945
Daitou,China,34.6911,106.221144
Currais Novos,Brazil,-6.238218,-36.4797126
Chynadiyovo,Ukraine,48.4907371,22.8097434
Quangang,China,25.119815,118.916309
Oklahoma City,United States,35.46,-97.52
Ruda Maleniecka,Poland,51.1448845,20.1864915
Santa Maria da Vitória,Brazil,-13.4017106,-44.2097085
Berekum,Ghana,7.4576765,-2.5842062
Wangjiachang,China,39.142026,117.212606
Belfort,France,47.484145,6.923811
Cusco,Peru,-13.53195,-71.9674626
Bang Ban,Thailand,14.4050979,100.464947
Yên Lập,Vietnam,21.3410625,105.0089888
Talu,Indonesia,0.2118181,100.0024084
Bhokadoke,Indonesia,-8802,121.3118
Citatah Kaler,Indonesia,-6.859269,107.4702845
El Refugio,Mexico,32.463219,-116.827715
Widuchowa,Poland,53.1395216,14.4504726
Likwatang Timur,Indonesia,-8.1649,124668
Santa Helena de Goiás,Brazil,-17.8119748,-50.5981252
Puerto Padre,Cuba,21.1878548,-76.606611
Rosa Zarate,Ecuador,0.3268809,-79.4647633
Emiliano Zapata,Mexico,19.3624962,-96.6565439
Zoumi,Morocco,34.8032705,-5.3442408
Sundbyberg,Sweden,59.3606836,17.9701456
Jalalaqsi,Somalia,3.3850829,45.5959878
Zhulin,China,27.862955,106.554468
Vavozh,Russia,56.7780157,51.9234687
Cisalak,Indonesia,-6.3874037,106.8620891
Teminabuan,Indonesia,-1.4328008,132.0583886
Dawan,China,39.728885,116.341609
Cijapar,Indonesia,-6.9034154,106.4206269
Thị Trấn Bắc Hà,Vietnam,22.5383534,104.2890194
Dazhan,China,24.160878,113.433561
Sel’tso,Russia,53.3656498,34.1098425
Nambalan,Philippines,15.5946381,120.465637
Düsseldorf,Germany,51.1974375,6.7898817
